nursery,higher,internet,romantic,G3
yes,yes,no,no,11
no,yes,yes,no,11
yes,yes,yes,no,12
yes,yes,yes,yes,14
yes,yes,no,no,13
yes,yes,yes,no,13
yes,yes,yes,no,13
yes,yes,no,no,13
yes,yes,yes,no,17
yes,yes,yes,no,13
yes,yes,yes,no,14
yes,yes,yes,no,13
yes,yes,yes,no,12
yes,yes,yes,no,13
yes,yes,yes,yes,15
yes,yes,yes,no,17
yes,yes,yes,no,14
yes,yes,no,no,14
yes,yes,yes,no,7
yes,yes,yes,no,12
yes,yes,yes,no,14
yes,yes,yes,no,12
yes,yes,yes,no,14
yes,yes,yes,no,10
yes,yes,yes,no,10
no,yes,yes,no,12
yes,yes,yes,no,12
yes,yes,yes,no,11
yes,yes,yes,no,13
yes,yes,yes,yes,12
no,yes,yes,no,11
yes,yes,yes,no,15
yes,yes,yes,yes,15
no,yes,yes,no,12
no,yes,yes,no,12
yes,yes,no,no,11
yes,yes,yes,no,14
yes,yes,yes,yes,13
yes,yes,yes,no,12
yes,yes,no,no,12
no,yes,yes,yes,10
no,yes,yes,yes,11
yes,yes,yes,no,15
yes,yes,yes,no,10
yes,yes,yes,no,11
yes,yes,yes,yes,11
yes,yes,yes,no,13
yes,yes,yes,no,17
yes,yes,no,no,13
no,yes,yes,no,12
yes,yes,yes,no,13
yes,yes,yes,no,16
yes,yes,no,no,9
yes,yes,yes,no,12
yes,yes,yes,no,13
yes,yes,yes,yes,12
yes,yes,yes,no,15
yes,yes,no,no,16
yes,yes,yes,no,14
yes,yes,yes,no,16
yes,yes,no,no,16
no,yes,yes,yes,16
yes,yes,yes,no,10
yes,yes,yes,no,13
yes,yes,yes,yes,12
yes,yes,yes,no,16
no,yes,yes,yes,12
yes,yes,yes,no,10
yes,yes,yes,no,11
no,yes,yes,no,15
yes,yes,yes,no,11
yes,yes,yes,no,10
no,yes,yes,yes,11
yes,yes,no,no,14
yes,yes,yes,no,11
yes,yes,yes,no,11
yes,yes,yes,no,11
yes,yes,yes,yes,13
yes,no,yes,no,10
yes,yes,yes,no,11
no,yes,yes,yes,12
no,yes,yes,no,9
yes,yes,yes,no,11
yes,yes,yes,no,13
no,yes,yes,no,12
yes,yes,yes,yes,12
yes,yes,no,no,11
yes,yes,yes,no,15
no,yes,yes,no,11
yes,yes,no,no,10
yes,yes,yes,yes,11
yes,yes,yes,no,13
yes,yes,no,no,12
yes,yes,yes,no,14
yes,yes,yes,no,12
yes,yes,yes,no,13
no,yes,yes,no,11
yes,yes,no,yes,12
no,yes,yes,no,13
yes,yes,yes,no,13
yes,yes,yes,no,8
yes,yes,yes,yes,16
no,yes,yes,no,12
yes,yes,yes,no,10
yes,yes,yes,no,16
yes,yes,no,no,10
yes,yes,yes,no,10
yes,yes,yes,no,14
yes,yes,yes,yes,11
yes,yes,yes,yes,14
yes,yes,yes,no,14
yes,yes,yes,no,11
yes,yes,yes,no,10
yes,yes,yes,no,18
yes,yes,yes,yes,10
yes,yes,yes,no,14
yes,yes,no,no,16
yes,yes,yes,no,15
yes,yes,yes,no,11
yes,yes,yes,no,14
no,yes,yes,no,14
yes,yes,yes,no,13
yes,yes,yes,yes,13
yes,yes,yes,no,13
yes,yes,yes,yes,11
yes,yes,yes,no,9
yes,yes,yes,yes,11
no,no,no,no,11
yes,yes,yes,no,15
no,yes,yes,yes,13
yes,yes,yes,yes,12
yes,no,yes,yes,8
yes,yes,yes,no,11
no,yes,yes,yes,13
yes,yes,yes,yes,12
yes,yes,yes,no,14
yes,yes,no,no,11
yes,yes,no,no,11
yes,yes,no,yes,11
yes,yes,yes,yes,15
yes,yes,no,no,10
yes,yes,no,no,13
yes,yes,yes,yes,12
no,yes,yes,yes,11
yes,yes,no,yes,11
no,yes,yes,yes,10
yes,yes,no,yes,10
yes,yes,yes,no,14
yes,yes,yes,yes,9
yes,yes,yes,no,11
no,yes,no,yes,9
yes,yes,yes,no,13
yes,yes,yes,no,11
yes,yes,yes,no,13
yes,yes,yes,no,11
yes,yes,yes,no,6
yes,yes,yes,no,12
yes,no,yes,yes,10
yes,yes,yes,no,11
no,yes,yes,no,13
no,yes,no,yes,11
yes,no,yes,yes,8
yes,yes,yes,no,11
yes,no,yes,yes,0
yes,yes,no,yes,10
yes,yes,yes,yes,13
yes,no,yes,yes,11
yes,yes,no,yes,13
yes,yes,no,no,8
yes,yes,no,no,10
no,yes,no,no,11
no,yes,no,no,11
yes,yes,yes,yes,1
no,yes,yes,no,10
yes,no,yes,yes,9
yes,yes,yes,yes,8
yes,yes,no,no,10
yes,no,yes,no,8
yes,no,no,yes,8
no,no,no,no,8
yes,no,yes,no,11
yes,yes,yes,yes,18
no,yes,yes,no,13
yes,yes,yes,yes,17
no,yes,yes,no,10
yes,yes,yes,yes,18
yes,yes,yes,no,10
no,yes,yes,yes,13
yes,yes,yes,no,15
yes,yes,yes,no,11
no,yes,yes,no,14
no,yes,yes,no,10
yes,yes,yes,yes,11
yes,yes,yes,yes,13
yes,yes,yes,no,11
yes,yes,yes,yes,13
yes,yes,no,no,17
yes,yes,yes,yes,14
yes,yes,yes,no,16
yes,yes,yes,yes,14
yes,yes,yes,yes,11
yes,yes,yes,yes,16
no,yes,yes,yes,14
yes,yes,no,no,10
yes,yes,yes,no,13
yes,yes,yes,no,12
no,yes,yes,no,12
yes,yes,yes,no,10
yes,yes,yes,no,12
yes,yes,yes,yes,16
yes,yes,yes,no,14
yes,yes,yes,no,12
yes,yes,yes,no,16
yes,yes,yes,no,11
yes,yes,yes,no,15
yes,yes,no,no,12
no,yes,no,no,15
yes,yes,yes,no,13
no,yes,yes,no,13
yes,yes,yes,yes,8
yes,yes,yes,no,12
yes,yes,yes,yes,15
yes,yes,no,no,13
yes,yes,yes,yes,12
yes,yes,yes,no,12
yes,yes,yes,yes,12
yes,yes,yes,no,13
yes,yes,yes,no,11
yes,yes,no,no,11
yes,yes,yes,no,15
yes,yes,yes,yes,10
yes,yes,yes,no,10
yes,yes,no,no,13
yes,yes,yes,no,13
yes,yes,yes,no,11
yes,yes,no,yes,12
yes,yes,yes,no,14
yes,yes,yes,no,10
no,yes,yes,no,16
yes,yes,yes,yes,8
no,yes,yes,no,17
no,yes,yes,no,11
yes,yes,yes,yes,11
yes,yes,yes,yes,16
yes,yes,yes,yes,12
yes,yes,yes,no,13
yes,yes,yes,yes,13
yes,yes,yes,no,14
yes,yes,yes,no,9
yes,yes,yes,yes,12
no,yes,yes,yes,16
yes,yes,yes,yes,10
yes,yes,yes,yes,13
yes,yes,yes,no,10
no,yes,yes,yes,10
yes,no,yes,no,7
no,no,yes,yes,8
no,yes,yes,no,9
yes,yes,no,no,15
yes,yes,yes,yes,10
yes,no,yes,no,11
yes,yes,no,no,13
yes,yes,yes,no,8
yes,no,yes,no,8
no,no,yes,no,10
yes,yes,yes,no,15
yes,yes,no,no,14
yes,yes,yes,yes,15
yes,yes,yes,no,12
no,yes,yes,no,15
yes,yes,yes,no,15
yes,yes,yes,yes,12
no,yes,yes,yes,15
yes,yes,yes,yes,11
no,yes,no,yes,10
no,yes,yes,yes,11
yes,yes,yes,no,16
yes,yes,no,no,11
yes,yes,yes,no,13
no,no,yes,yes,5
yes,yes,yes,yes,10
no,yes,yes,no,11
yes,no,yes,no,7
no,yes,yes,no,10
no,no,yes,no,6
no,yes,no,no,12
no,yes,yes,no,13
yes,yes,yes,no,10
no,yes,yes,yes,13
yes,yes,yes,no,17
yes,yes,yes,no,11
no,no,yes,no,11
yes,yes,yes,no,14
no,yes,no,no,14
yes,yes,no,no,13
yes,yes,yes,no,14
yes,yes,yes,no,16
no,no,no,no,10
yes,yes,yes,yes,12
yes,no,yes,yes,12
yes,yes,yes,yes,15
no,yes,yes,no,11
no,yes,no,no,12
no,yes,no,no,13
yes,yes,yes,yes,13
yes,no,yes,no,9
yes,yes,yes,no,16
yes,yes,yes,yes,14
yes,yes,yes,no,12
yes,yes,yes,yes,14
yes,no,yes,yes,10
yes,yes,yes,no,12
yes,yes,yes,yes,16
no,yes,no,no,13
no,yes,no,yes,18
yes,yes,yes,yes,15
yes,yes,yes,yes,16
yes,yes,yes,yes,12
no,no,yes,yes,10
yes,yes,yes,no,12
yes,yes,yes,yes,13
yes,yes,yes,yes,15
yes,no,yes,no,10
yes,yes,yes,no,10
no,no,yes,no,11
yes,yes,yes,yes,10
yes,yes,yes,no,13
yes,yes,no,no,18
yes,yes,yes,no,13
no,yes,yes,no,14
yes,yes,yes,yes,14
no,yes,yes,no,12
yes,yes,yes,no,18
yes,yes,yes,no,14
yes,yes,yes,no,15
yes,yes,yes,no,17
yes,yes,yes,yes,16
yes,yes,yes,no,18
yes,yes,no,no,19
yes,yes,yes,no,15
yes,yes,yes,no,15
yes,yes,yes,no,13
yes,yes,yes,yes,14
yes,yes,yes,no,17
yes,yes,yes,yes,17
yes,yes,yes,yes,15
yes,yes,yes,no,13
yes,yes,yes,no,8
yes,yes,yes,no,16
no,yes,yes,no,18
yes,yes,yes,yes,11
yes,yes,no,no,15
yes,yes,no,yes,11
no,yes,no,yes,11
yes,yes,yes,no,15
yes,yes,yes,yes,14
yes,yes,yes,no,17
yes,yes,yes,yes,17
yes,yes,yes,no,15
no,yes,yes,no,17
yes,yes,yes,no,14
yes,yes,yes,yes,10
yes,yes,yes,no,13
yes,yes,yes,yes,14
yes,yes,yes,no,17
yes,yes,yes,yes,17
yes,yes,yes,no,13
yes,yes,yes,no,14
yes,yes,yes,no,11
yes,no,no,yes,11
no,yes,yes,yes,9
yes,yes,yes,yes,10
yes,yes,no,yes,13
yes,yes,yes,no,10
no,yes,yes,no,17
yes,yes,yes,no,15
yes,yes,yes,no,14
yes,yes,yes,no,13
no,yes,yes,no,17
yes,yes,yes,no,10
